TYPO_NATIONALE;REFERENCE;MINIMUM;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;18,1;1;0,94;0,78;0,55;0,3;0
P20;18,1;1;0,94;0,78;0,55;0,3;0
TP20;18,1;1;0,94;0,78;0,55;0,3;0
GM20/9;18,1;1;0,94;0,78;0,55;0,3;0
G21;19;5;0,94;0,78;0,55;0,3;0
M21;19;5;0,94;0,78;0,55;0,3;0
P21;19;5;0,94;0,78;0,55;0,3;0
TP21;19;5;0,94;0,78;0,55;0,3;0
G3;19;5;0,94;0,78;0,55;0,3;0
M3;19;5;0,94;0,78;0,55;0,3;0
P3;19;5;0,94;0,78;0,55;0,3;0
TP3;19;5;0,94;0,78;0,55;0,3;0
M3/19;;;;;;;
M3/8;;;;;;;
G3/19-8;18,1;1;0,94;0,78;0,55;0,3;0
M17;17,4;1;0,94;0,78;0,55;0,3;0
P17;17,4;1;0,94;0,78;0,55;0,3;0
TP17;17,4;1;0,94;0,78;0,55;0,3;0
TG17/3-21;;;;;;;
G17/3-21;19;5;0,94;0,78;0,55;0,3;0
M15-17/3-21;19;5;0,94;0,78;0,55;0,3;0
P17/3-21;19;5;0,94;0,78;0,55;0,3;0
TP17/3-21;19;5;0,94;0,78;0,55;0,3;0
G15/5;20;5;0,94;0,78;0,55;0,3;0
MP15/5;20;5;0,94;0,78;0,55;0,3;0
TG15;18,1;1;0,94;0,78;0,55;0,3;0
MP15;18,1;1;0,94;0,78;0,55;0,3;0
TP15;18,1;1;0,94;0,78;0,55;0,3;0
TG10-15/4;18,1;1;0,94;0,78;0,55;0,3;0
G5;20;5;0,94;0,78;0,55;0,3;0
M5;20;5;0,94;0,78;0,55;0,3;0
P5;20;5;0,94;0,78;0,55;0,3;0
TP5;20;5;0,94;0,78;0,55;0,3;0
TG5/2;20;5;0,94;0,78;0,55;0,3;0
GM5/2;20;5;0,94;0,78;0,55;0,3;0
TTGA;;;;;;;
G2;20;5;0,94;0,78;0,55;0,3;0
MP2;20;5;0,94;0,78;0,55;0,3;0
TP2;20;5;0,94;0,78;0,55;0,3;0
GMP7;20;5;0,94;0,78;0,55;0,3;0
TP7;20;5;0,94;0,78;0,55;0,3;0
TG6-7/2;18,1;1;0,94;0,78;0,55;0,3;0
GM7/2;20;5;0,94;0,78;0,55;0,3;0
GM6/2-7;20;5;0,94;0,78;0,55;0,3;0
TG6/1-8;18,1;1;0,94;0,78;0,55;0,3;0
GM6/8;19;5;0,94;0,78;0,55;0,3;0
GM6/1;20;5;0,94;0,78;0,55;0,3;0
G6;18,1;1;0,94;0,78;0,55;0,3;0
MP6;18,1;1;0,94;0,78;0,55;0,3;0
