TYPO_NATIONALE;REFERENCE;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;11,17;0,92;0,77;0,64;0,51;0
P20;13,09;0,92;0,77;0,64;0,51;0
TP20;13,09;0,92;0,77;0,64;0,51;0
GM20/9;11,17;0,92;0,77;0,64;0,51;0
G21;13,09;0,92;0,77;0,64;0,51;0
M21;13,17;0,92;0,77;0,64;0,51;0
P21;13,17;0,92;0,77;0,64;0,51;0
TP21;14,61;0,92;0,77;0,64;0,51;0
G3;9,38;0,92;0,77;0,64;0,51;0
M3;13,17;0,92;0,77;0,64;0,51;0
P3;14;0,92;0,77;0,64;0,51;0
TP3;14;0,92;0,77;0,64;0,51;0
M3/19;12,94;0,92;0,77;0,64;0,51;0
M3/8;13,17;0,92;0,77;0,64;0,51;0
G3/19-8;9,38;0,92;0,77;0,64;0,51;0
M17;11,17;0,92;0,77;0,64;0,51;0
P17;11,17;0,92;0,77;0,64;0,51;0
TP17;11,17;0,92;0,77;0,64;0,51;0
TG17/3-21;9,38;0,92;0,77;0,64;0,51;0
G17/3-21;9,38;0,92;0,77;0,64;0,51;0
M15-17/3-21;11,17;0,92;0,77;0,64;0,51;0
P17/3-21;11,17;0,92;0,77;0,64;0,51;0
TP17/3-21;14;0,92;0,77;0,64;0,51;0
G15/5;11,17;0,92;0,77;0,64;0,51;0
MP15/5;11,17;0,92;0,77;0,64;0,51;0
TG15;9,38;0,92;0,77;0,64;0,51;0
MP15;11,17;0,92;0,77;0,64;0,51;0
TP15;12,94;0,92;0,77;0,64;0,51;0
TG10-15/4;9,38;0,92;0,77;0,64;0,51;0
G5;11,17;0,92;0,77;0,64;0,51;0
M5;12,94;0,92;0,77;0,64;0,51;0
P5;12,94;0,92;0,77;0,64;0,51;0
TP5;12,94;0,92;0,77;0,64;0,51;0
TG5/2;9,38;0,92;0,77;0,64;0,51;0
GM5/2;11,17;0,92;0,77;0,64;0,51;0
TTGA;9;0,92;0,77;0,64;0,51;0
G2;;;;;;
MP2;;;;;;
TP2;;;;;;
GMP7;11,17;0,92;0,77;0,64;0,51;0
TP7;11,17;0,92;0,77;0,64;0,51;0
TG6-7/2;9,38;0,92;0,77;0,64;0,51;0
GM7/2;11,17;0,92;0,77;0,64;0,51;0
GM6/2-7;11,17;0,92;0,77;0,64;0,51;0
TG6/1-8;9,38;0,92;0,77;0,64;0,51;0
GM6/8;11,17;0,92;0,77;0,64;0,51;0
GM6/1;11,17;0,92;0,77;0,64;0,51;0
G6;11,17;0,92;0,77;0,64;0,51;0
MP6;11,17;0,92;0,77;0,64;0,51;0
TP6;11,17;0,92;0,77;0,64;0,51;0
GM8;13,09;0,92;0,77;0,64;0,51;0
PTP8;14;0,92;0,77;0,64;0,51;0
