TYPO_NATIONALE;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;0,665;0,443;0,295;0,148;0
P20;0,665;0,443;0,295;0,148;0
TP20;0,665;0,443;0,295;0,148;0
GM20/9;0,665;0,443;0,295;0,148;0
G21;0,665;0,498;0,332;0,166;0
M21;0,665;0,443;0,295;0,148;0
P21;0,665;0,443;0,295;0,148;0
TP21;0,665;0,443;0,295;0,148;0
G3;0,665;0,498;0,332;0,166;0
M3;0,665;0,443;0,295;0,148;0
P3;0,665;0,443;0,295;0,148;0
TP3;0,665;0,443;0,295;0,148;0
M3/19;0,665;0,498;0,332;0,166;0
M3/8;0,665;0,498;0,332;0,166;0
G3/19-8;0,665;0,498;0,332;0,166;0
M17;;;;;
P17;0,665;0,498;0,332;0,166;0
TP17;0,665;0,443;0,295;0,148;0
TG17/3-21;;;;;
G17/3-21;0,665;0,443;0,295;0,148;0
M15-17/3-21;0,665;0,443;0,295;0,148;0
P17/3-21;0,665;0,443;0,295;0,148;0
TP17/3-21;;;;;
G15/5;;;;;
MP15/5;0,665;0,443;0,295;0,148;0
TG15;;;;;
MP15;0,665;0,443;0,295;0,148;0
TP15;0,665;0,443;0,295;0,148;0
TG10-15/4;;;;;
G5;0,665;0,498;0,332;0,166;0
M5;0,605;0,354;0,236;0,118;0
P5;0,605;0,354;0,236;0,118;0
TP5;0,605;0,354;0,236;0,118;0
TG5/2;;;;;
GM5/2;0,665;0,46;0,306;0,153;0
TTGA;;;;;
G2;0,665;0,46;0,306;0,153;0
MP2;0,665;0,46;0,306;0,153;0
TP2;0,665;0,46;0,306;0,153;0
GMP7;0,676;0,464;0,31;0,155;0
TP7;0,676;0,464;0,31;0,155;0
TG6-7/2;;;;;
GM7/2;0,665;0,46;0,306;0,153;0
GM6/2-7;0,665;0,498;0,332;0,166;0
TG6/1-8;;;;;
GM6/8;0,665;0,498;0,332;0,166;0
GM6/1;0,665;0,498;0,332;0,166;0
G6;0,665;0,498;0,332;0,166;0
MP6;0,676;0,464;0,31;0,155;0
TP6;0,676;0,464;0,31;0,155;0
GM8;0,665;0,498;0,332;0,166;0
PTP8;0,676;0,464;0,31;0,155;0
M8-A;0,676;0,464;0,31;0,155;0
PTP8-A;0,676;0,464;0,31;0,155;0
G16;0,665;0,498;0,332;0,166;0
M16-A;0,676;0,464;0,31;0,155;0
PTP16-A;0,676;0,464;0,31;0,155;0
M16-B;0,676;0,464;0,31;0,155;0
PTP16-B;;;;;
P19;0,665;0,498;0,332;0,166;0
GM19/8;0,665;0,498;0,332;0,166;0
P11;0,665;0,498;0,332;0,166;0
TP11;0,665;0,498;0,332;0,166;0
TG11/3-21;;;;;
G11/3-21;0,665;0,498;0,332;0,166;0
M11/3-21;0,665;0,443;0,295;0,148;0
P11/3-21;0,665;0,443;0,295;0,148;0
TG14/3-11;;;;;
G14/3;0,665;0,498;0,332;0,166;0
M14/3-11;0,665;0,443;0,295;0,148;0
M14/3-8;0,665;0,443;0,295;0,148;0
GM14;0,665;0,443;0,295;0,148;0
P14;0,665;0,498;0,332;0,166;0
TP14;0,665;0,498;0,332;0,166;0
TG14/1;;;;;
G14/1;0,665;0,498;0,332;0,166;0
M14/1;0,665;0,498;0,332;0,166;0
P14/1;0,665;0,46;0,306;0,153;0
M13;0,665;0,443;0,295;0,148;0
P13;0,665;0,443;0,295;0,148;0
TP13;0,665;0,443;0,295;0,148;0
G1;0,665;0,46;0,306;0,153;0
M1;0,665;0,46;0,306;0,153;0
P1;0,665;0,46;0,306;0,153;0
TP1;0,665;0,46;0,306;0,153;0
G12;0,665;0,443;0,295;0,148;0
M12-A;0,665;0,443;0,295;0,148;0
P12-A;0,665;0,443;0,295;0,148;0
TP12-A;0,665;0,443;0,295;0,148;0
M12-B;0,665;0,443;0,295;0,148;0
P12-B;0,665;0,443;0,295;0,148;0
TP12-B;0,665;0,443;0,295;0,148;0
TTGL;;;;;
M9-A;0,665;0,443;0,295;0,148;0
P9-A;0,665;0,443;0,295;0,148;0
TG9;;;;;
G9;0,665;0,443;0,295;0,148;0
M9;0,665;0,443;0,295;0,148;0
P9;0,665;0,443;0,295;0,148;0
TP9;0,665;0,443;0,295;0,148;0
G9/10;0,665;0,443;0,295;0,148;0
M9/10;0,665;0,443;0,295;0,148;0
TG9/21;;;;;
G9-10/21;0,665;0,443;0,295;0,148;0
M9-10/21;0,665;0,443;0,295;0,148;0
G10;0,665;0,443;0,295;0,148;0
M10;0,665;0,443;0,295;0,148;0
P10;0,665;0,498;0,332;0,166;0
TP10;0,665;0,498;0,332;0,166;0
G10/4;0,665;0,498;0,332;0,166;0
M10/4;0,665;0,443;0,295;0,148;0
M4;0,665;0,443;0,295;0,148;0
P4;0,665;0,443;0,295;0,148;0
TP4;0,665;0,443;0,295;0,148;0
TG22/10;;;;;
GM22;0,665;0,498;0,332;0,166;0
P22;0,665;0,443;0,295;0,148;0
TP22;0,665;0,443;0,295;0,148;0
MP18;0,665;0,443;0,295;0,148;0
TP18;0,665;0,443;0,295;0,148;0
G18/4;0,665;0,443;0,295;0,148;0
M18/4;0,665;0,443;0,295;0,148;0
P18/4;0,665;0,443;0,295;0,148;0
C;;;;;
