TYPO_NATIONALE;TG_BV;REFERENCE;MINIMUM;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;NON;18,1;1;0,94;0,78;0,55;0,3;0
P20;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP20;NON;18,1;1;0,94;0,78;0,55;0,3;0
GM20/9;NON;18,1;1;0,94;0,78;0,55;0,3;0
G21;NON;19;5;0,94;0,78;0,55;0,3;0
M21;NON;19;5;0,94;0,78;0,55;0,3;0
P21;NON;19;5;0,94;0,78;0,55;0,3;0
TP21;NON;19;5;0,94;0,78;0,55;0,3;0
G3;NON;19;5;0,94;0,78;0,55;0,3;0
M3;NON;19;5;0,94;0,78;0,55;0,3;0
P3;NON;19;5;0,94;0,78;0,55;0,3;0
TP3;NON;19;5;0,94;0,78;0,55;0,3;0
M3/19;NON;18,1;1;0,94;0,78;0,55;0,3;0
M3/8;NON;19;5;0,94;0,78;0,55;0,3;0
G3/19-8;NON;18,1;1;0,94;0,78;0,55;0,3;0
M17;NON;17,4;1;0,94;0,78;0,55;0,3;0
P17;NON;17,4;1;0,94;0,78;0,55;0,3;0
TP17;NON;17,4;1;0,94;0,78;0,55;0,3;0
TG17/3-21;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG17/3-21;OUI;18,1;1;0,92;0,76;0,52;0,26;0
G17/3-21;NON;19;5;0,94;0,78;0,55;0,3;0
M15-17/3-21;NON;19;5;0,94;0,78;0,55;0,3;0
P17/3-21;NON;19;5;0,94;0,78;0,55;0,3;0
TP17/3-21;NON;19;5;0,94;0,78;0,55;0,3;0
G15/5;NON;20;5;0,94;0,78;0,55;0,3;0
MP15/5;NON;20;5;0,94;0,78;0,55;0,3;0
TG15;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG15;OUI;18,1;1;0,92;0,76;0,52;0,26;0
MP15;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP15;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG10-15/4;NON;18,1;1;0,94;0,78;0,55;0,3;0
TG10-15/4;OUI;18,1;1;0,92;0,76;0,52;0,26;0
G5;NON;20;5;0,94;0,78;0,55;0,3;0
M5;NON;20;5;0,94;0,78;0,55;0,3;0
P5;NON;20;5;0,94;0,78;0,55;0,3;0
TP5;NON;20;5;0,94;0,78;0,55;0,3;0
TG5/2;NON;20;5;0,94;0,78;0,55;0,3;0
TG5/2;OUI;19,1;1;0,92;0,76;0,52;0,26;0
GM5/2;NON;20;5;0,94;0,78;0,55;0,3;0
TTGA1;OUI;19,1;1;0,92;0,76;0,52;0,26;0
TTGA2;OUI;18,1;1;0,92;0,76;0,52;0,26;0
G2;NON;20;5;0,94;0,78;0,55;0,3;0
MP2;NON;20;5;0,94;0,78;0,55;0,3;0
TP2;NON;20;5;0,94;0,78;0,55;0,3;0
GMP7;NON;20;5;0,94;0,78;0,55;0,3;0
TP7;NON;20;5;0,94;0,78;0,55;0,3;0
TG6-7/2;NON;20;5;0,94;0,78;0,55;0,3;0
TG6-7/2;OUI;19,1;1;0,92;0,76;0,52;0,26;0
GM7/2;NON;20;5;0,94;0,78;0,55;0,3;0
GM6/2-7;NON;20;5;0,94;0,78;0,55;0,3;0
TG6/1-8;NON;18,1;1;0,94;0,78;0,55;0,3;0
GM6/8;NON;19;5;0,94;0,78;0,55;0,3;0
GM6/1;NON;20;5;0,94;0,78;0,55;0,3;0
G6;NON;18,1;1;0,94;0,78;0,55;0,3;0
MP6;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP6;NON;18,1;1;0,94;0,78;0,55;0,3;0
GM8;NON;19;5;0,94;0,78;0,55;0,3;0
PTP8;NON;19;5;0,94;0,78;0,55;0,3;0
M8-A;NON;19;5;0,94;0,78;0,55;0,3;0
PTP8-A;NON;19;5;0,94;0,78;0,55;0,3;0
G16;NON;19;5;0,94;0,78;0,55;0,3;0
M16-A;NON;19;5;0,94;0,78;0,55;0,3;0
PTP16-A;NON;19;5;0,94;0,78;0,55;0,3;0
M16-B;NON;19;5;0,94;0,78;0,55;0,3;0
PTP16-B;NON;19;5;0,94;0,78;0,55;0,3;0
P19;NON;18,1;1;0,94;0,78;0,55;0,3;0
GM19/8;NON;19;5;0,94;0,78;0,55;0,3;0
P11;NON;18,1;1;0,94;0,78;0,55;0,3;0
TP11;NON;18,1;1;0,94;0,78;0,55;0,3;0
