TYPO_NATIONALE;REFERENCE;TRES_BON;BON;MOYEN;MEDIOCRE;MAUVAIS
GM20;;;;;;
P20;;;;;;
TP20;;;;;;
GM20/9;;;;;;
G21;;;;;;
M21;;;;;;
P21;;;;;;
TP21;;;;;;
G3;;;;;;
M3;;;;;;
P3;;;;;;
TP3;;;;;;
M3/19;;;;;;
M3/8;;;;;;
G3/19-8;;;;;;
M17;;;;;;
P17;;;;;;
TP17;;;;;;
TG17/3-21;;;;;;
G17/3-21;;;;;;
M15-17/3-21;;;;;;
P17/3-21;;;;;;
TP17/3-21;;;;;;
G15/5;;;;;;
MP15/5;;;;;;
TG15;;;;;;
MP15;;;;;;
TP15;;;;;;
TG10-15/4;;;;;;
G5;;;;;;
M5;;;;;;
P5;;;;;;
TP5;;;;;;
TG5/2;;;;;;
GM5/2;;;;;;
TTGA;;;;;;
G2;;;;;;
MP2;;;;;;
TP2;;;;;;
GMP7;;;;;;
TP7;;;;;;
TG6-7/2;;;;;;
GM7/2;;;;;;
GM6/2-7;;;;;;
TG6/1-8;;;;;;
GM6/8;;;;;;
GM6/1;;;;;;
G6;;;;;;
MP6;;;;;;
TP6;;;;;;
GM8;;;;;;
PTP8;;;;;;
M8-A;;;;;;
PTP8-A;;;;;;
G16;;;;;;
M16-A;;;;;;
PTP16-A;;;;;;
M16-B;;;;;;
PTP16-B;;;;;;
P19;;;;;;
GM19/8;;;;;;
P11;;;;;;
TP11;;;;;;
TG11/3-21;;;;;;
G11/3-21;;;;;;
M11/3-21;;;;;;
P11/3-21;;;;;;
TG14/3-11;;;;;;
G14/3;;;;;;
M14/3-11;;;;;;
M14/3-8;;;;;;
GM14;;;;;;
P14;;;;;;
TP14;;;;;;
TG14/1;;;;;;
G14/1;;;;;;
M14/1;;;;;;
P14/1;;;;;;
M13;;;;;;
P13;;;;;;
TP13;;;;;;
G1;;;;;;
M1;;;;;;
P1;;;;;;
TP1;;;;;;
G12;;;;;;
M12-A;;;;;;
P12-A;;;;;;
TP12-A;;;;;;
M12-B;;;;;;
P12-B;;;;;;
TP12-B;;;;;;
TTGL;;;;;;
M9-A;15;0,92857;0,78571;0,57142;0,28571;0
P9-A;15;0,92857;0,78571;0,57142;0,28571;0
TG9;;;;;;
G9;;;;;;
M9;;;;;;
P9;;;;;;
TP9;;;;;;
G9/10;;;;;;
M9/10;;;;;;
TG9/21;;;;;;
G9-10/21;;;;;;
M9-10/21;;;;;;
G10;;;;;;
M10;;;;;;
P10;;;;;;
TP10;;;;;;
G10/4;;;;;;
M10/4;;;;;;
M4;;;;;;
P4;;;;;;
TP4;;;;;;
TG22/10;;;;;;
GM22;;;;;;
P22;;;;;;
TP22;;;;;;
MP18;;;;;;
TP18;;;;;;
G18/4;;;;;;
M18/4;;;;;;
P18/4;;;;;;
C;;;;;;
