TYPO_NATIONALE;TRES_BON;BON;BASSE_ALTITUDE;HAUTE_ALTITUDE;MOYEN;MEDIOCRE;MAUVAIS
GM20;5;;16;14,5;25;36;Inf
P20;5;;16;14,5;25;36;Inf
TP20;5;;16;14,5;25;36;Inf
GM20/9;5;;16;14,5;25;36;Inf
G21;5;;16;14,5;25;36;Inf
M21;5;;16;14,5;25;36;Inf
P21;5;;16;14,5;25;36;Inf
TP21;5;;16;14,5;25;36;Inf
G3;5;;16;14,5;25;36;Inf
M3;5;;16;14,5;25;36;Inf
P3;5;;16;14,5;25;36;Inf
TP3;5;;16;14,5;25;36;Inf
M3/19;5;;16;14,5;25;36;Inf
M3/8;5;;16;14,5;25;36;Inf
G3/19-8;5;;16;14,5;25;36;Inf
M17;5;;16;14,5;25;36;Inf
P17;5;;16;14,5;25;36;Inf
TP17;5;;16;14,5;25;36;Inf
TG17/3-21;5;16;;;25;36;Inf
G17/3-21;5;;16;14,5;25;36;Inf
M15-17/3-21;5;;16;14,5;25;36;Inf
P17/3-21;5;;16;14,5;25;36;Inf
TP17/3-21;5;;16;14,5;25;36;Inf
G15/5;5;;16;14,5;25;36;Inf
MP15/5;5;;16;14,5;25;36;Inf
TG15;5;16;;;25;36;Inf
MP15;5;;16;14,5;25;36;Inf
TP15;5;;16;14,5;25;36;Inf
TG10-15/4;5;16;;;25;36;Inf
G5;5;;16;14,5;25;36;Inf
M5;5;;16;14,5;25;36;Inf
P5;5;;16;14,5;25;36;Inf
TP5;5;;16;14,5;25;36;Inf
TG5/2;5;16;;;25;36;Inf
GM5/2;5;;16;14,5;25;36;Inf
TTGA;5;16;;;25;36;Inf
G2;5;;16;14,5;25;36;Inf
MP2;5;;16;14,5;25;36;Inf
TP2;5;;16;14,5;25;36;Inf
GMP7;5;;16;14,5;25;36;Inf
TP7;5;;16;14,5;25;36;Inf
TG6-7/2;5;16;;;25;36;Inf
GM7/2;5;;16;14,5;25;36;Inf
GM6/2-7;5;;16;14,5;25;36;Inf
TG6/1-8;5;16;;;25;36;Inf
GM6/8;5;;16;14,5;25;36;Inf
GM6/1;5;;16;14,5;25;36;Inf
G6;5;;16;14,5;25;36;Inf
MP6;5;;16;14,5;25;36;Inf
TP6;5;;16;14,5;25;36;Inf
GM8;5;;16;14,5;25;36;Inf
PTP8;5;;16;14,5;25;36;Inf
M8-A;5;;16;14,5;25;36;Inf
PTP8-A;5;;16;14,5;25;36;Inf
G16;;;;;;;
M16-A;;;;;;;
PTP16-A;;;;;;;
M16-B;;;;;;;
PTP16-B;;;;;;;
P19;5;;16;14,5;25;36;Inf
GM19/8;5;;16;14,5;25;36;Inf
P11;5;;16;14,5;25;36;Inf
TP11;5;;16;14,5;25;36;Inf
TG11/3-21;5;16;;;25;36;Inf
G11/3-21;5;;16;14,5;25;36;Inf
M11/3-21;5;;16;14,5;25;36;Inf
P11/3-21;5;;16;14,5;25;36;Inf
TG14/3-11;5;16;;;25;36;Inf
G14/3;5;;16;14,5;25;36;Inf
M14/3-11;5;;16;14,5;25;36;Inf
M14/3-8;5;;16;14,5;25;36;Inf
GM14;5;;16;14,5;25;36;Inf
P14;5;;16;14,5;25;36;Inf
TP14;5;;16;14,5;25;36;Inf
TG14/1;5;16;;;25;36;Inf
G14/1;5;;16;14,5;25;36;Inf
M14/1;5;;16;14,5;25;36;Inf
P14/1;5;;16;14,5;25;36;Inf
M13;5;;16;14,5;25;36;Inf
P13;5;;16;14,5;25;36;Inf
TP13;5;;16;14,5;25;36;Inf
G1;5;;16;14,5;25;36;Inf
M1;5;;16;14,5;25;36;Inf
P1;5;;16;14,5;25;36;Inf
TP1;5;;16;14,5;25;36;Inf
G12;5;;16;14,5;25;36;Inf
M12-A;5;;16;14,5;25;36;Inf
P12-A;5;;16;14,5;25;36;Inf
TP12-A;5;;16;14,5;25;36;Inf
M12-B;5;;16;14,5;25;36;Inf
P12-B;5;;16;14,5;25;36;Inf
TP12-B;5;;16;14,5;25;36;Inf
TTGL;5;16;;;25;36;Inf
M9-A;5;;16;14,5;25;36;Inf
P9-A;5;;16;14,5;25;36;Inf
TG9;5;16;;;25;36;Inf
G9;5;;16;14,5;25;36;Inf
M9;5;;16;14,5;25;36;Inf
P9;5;;16;14,5;25;36;Inf
TP9;5;;16;14,5;25;36;Inf
G9/10;5;;16;14,5;25;36;Inf
M9/10;5;;16;14,5;25;36;Inf
TG9/21;5;16;;;25;36;Inf
G9-10/21;5;;16;14,5;25;36;Inf
M9-10/21;5;;16;14,5;25;36;Inf
G10;5;;16;14,5;25;36;Inf
M10;5;;16;14,5;25;36;Inf
P10;5;;16;14,5;25;36;Inf
TP10;5;;16;14,5;25;36;Inf
G10/4;5;;16;14,5;25;36;Inf
M10/4;5;;16;14,5;25;36;Inf
M4;5;;16;14,5;25;36;Inf
P4;5;;16;14,5;25;36;Inf
TP4;5;;16;14,5;25;36;Inf
TG22/10;5;16;;;25;36;Inf
GM22;5;;16;14,5;25;36;Inf
P22;5;;16;14,5;25;36;Inf
TP22;5;;16;14,5;25;36;Inf
MP18;5;;16;14,5;25;36;Inf
TP18;5;;16;14,5;25;36;Inf
G18/4;5;;16;14,5;25;36;Inf
M18/4;5;;16;14,5;25;36;Inf
P18/4;5;;16;14,5;25;36;Inf
C;;;;;;;
